area_type,availability,location,size,society,total_sqft,bath,balcony,price,Pincode
Super built-up  Area,Ready To Move,Marathalli bridge,3 BHK,,1544,3,,120,560037
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2,1,58.7,560085
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aahts H,1230,2,2,80,560037
Plot  Area,Ready To Move,T.C PALYA,2 Bedroom,,1200,2,0,65,ERROR
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1460,3,1,73,ERROR
Plot  Area,Immediate Possession,Sarjapur  Road,,Asiss B,1200 - 2400,,,34.185,562125
Built-up  Area,Ready To Move,Gottigere,2 BHK,,967,2,3,45,560083
Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,,540,1,1,36,742149
Super built-up  Area,19-Dec,Hormavu,1 BHK,Kolisl ,715,1,2,46,560043
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Toindls,2500,3,2,313,560066
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1578,3,1,180,560016
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1020,2,1,48.95,560076
Super built-up  Area,Ready To Move,Jigani,2 BHK,i1odsne,1020,2,1,40,560085
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ansna K,1253,2,1,102,560003
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1180,2,2,42,ERROR
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,Veyalin,961,2,2,38,344001
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1419,3,3,75,562117
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1709,3,2,150,ERROR
Plot  Area,Ready To Move,Papareddipalya,2 Bedroom,,1600,2,0,115,ERROR
Super built-up  Area,18-Jul,Venkatapura,1 BHK,,416,1,1,18.5,560034
Carpet  Area,Ready To Move,Sanjay nagar,2 BHK,,1100,2,2,98,201002
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,,1430,2,1,65,560102
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,Daill S,1260,2,2,45,ERROR
Built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1630,3,2,85,560094
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,Soini T,1249,3,2,44.71,562125
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450,2,3,85,560076
Super built-up  Area,17-Nov,Konanakunte,3 BHK,Prasa W,2791,3,1,223,560062
Super built-up  Area,Ready To Move,Hosapalya,1 BHK,,600,1,0,90,ERROR
Built-up  Area,Ready To Move,Ashwini layout,1 BHK,Kaantth,834,1,1,60,560047
Plot  Area,Ready To Move,Doddagubbi,3 Bedroom,,1125,4,1,70,562149
Super built-up  Area,Ready To Move,Arekere,3 BHK,,2060,3,2,140,560076
Super built-up  Area,19-Jan,Malleshwaram,7 BHK,,12000,7,3,2200,560003
Built-up  Area,Ready To Move,Gottigere,2 BHK,Drente ,891,2,1,25,560083
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133,2,1,49.07,560098
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,37,ERROR
Super built-up  Area,18-May,Sector 6 HSR Layout,4 BHK,,3000,5,2,260,560102
Plot  Area,Ready To Move,Brookefield,4 Bedroom,,2440,5,2,425,ERROR
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1200,2,2,55,560097
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1075,2,2,45.8,560077
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1140,2,2,40,560093
Plot  Area,Ready To Move,Margondanahalli,5 Bedroom,,940,4,2,150,ERROR
Plot  Area,Ready To Move,ITI Layout,6 Bedroom,,2160,5,1,250,560016
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,SGandea,1090,2,1,42,560098
Built-up  Area,Ready To Move,R.T. Nagar,4 Bedroom,,1500,4,1,70,ERROR
Super built-up  Area,Ready To Move,Whitefield,4 BHK,,4104,4,2,360,560066
Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1790,3,,100,560066
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1920,3,2,134,560024
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Eline P,1374,2,2,95,560043
Carpet  Area,Ready To Move,Bannerghatta Road,3 BHK,,1445,3,2,95,560076
Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,711,1,1,36,562117
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,SosonGa,1500,3,3,95,572106
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,1720,3,3,100,560066
Super built-up  Area,Ready To Move,Vasanthapura,3 BHK,,1400,3,2,60,560062
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,,1030,2,2,49,560037
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1200,2,1,85,560076
Carpet  Area,18-Jul,Hosahalli,3 BHK,NSezeBr,1375,3,2,70,583234
Plot  Area,Ready To Move,Hegde Nagar,2 Bedroom,,1050,1,,56,ERROR
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2250,3,2,160,560013
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Sronda ,1000,2,2,50,560037
Super built-up  Area,Ready To Move,Jalahalli West,1 BHK,Prntsax,469,1,0,25,560015
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800,4,3,250,560037
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,29,560074
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,Chnts A,1820,2,3,86,560075
Built-up  Area,Ready To Move,Singasandra,3 BHK,,1440,2,3,65,560068
Super built-up  Area,Ready To Move,near Ramanashree California resort,6 BHK,,3600,4,1,160,ERROR
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,GaityEt,2500,5,2,325,560003
Super built-up  Area,18-Aug,Mahadevpura,2 BHK,,1225,2,2,48,560048
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR",3 Bedroom,,4000,3,1,660,ERROR
Carpet  Area,Ready To Move,Chikkalasandra,2 BHK,,875,2,3,52.8,560061
Super built-up  Area,Ready To Move,Jalahalli East,1 BHK,ShshaSa,750,1,2,40,560014
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,,1180,2,3,80,560078
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2,2,47,ERROR
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1500,2,2,62,560077
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,2 BHK,,1160,2,2,52.2,ERROR
Built-up  Area,Ready To Move,Arekere,9 Bedroom,,4125Perch,9,,265,560076
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2378,3,1,262,560085
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Ahownve,1128,2,1,60,560037
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Cevely ,1500,3,1,150,560024
Built-up  Area,18-Aug,Huskur,3 BHK,,1220,2,1,35.23,560099
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1210,2,2,58,562125
Super built-up  Area,20-Oct,Kanakpura Road,3 BHK,PrarePa,1100,2,1,58,560062
Super built-up  Area,Ready To Move,Bommasandra,3 BHK,Vaodspe,1200,3,2,46,562106
Built-up  Area,18-Mar,Haralur Road,4 BHK,SNnia E,3385,5,,260,ERROR
Super built-up  Area,Ready To Move,Nagondanahalli,3 BHK,DSldsen,1641,3,2,66,560066
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,1200,2,1,45,560043
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,NaonySy,1260,2,1,67.39,560098
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,,1720,3,3,78,560048
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1120 - 1145,2,0,48.13,560064
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1210,2,1,45.98,560064
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,,2200,4,2,200,560038
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,45,ERROR
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1702,3,2,130,560077
Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,Malex C,1630,2,2,200,560001
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1141,2,2,38.55,560098
Super built-up  Area,18-Apr,Shantiniketan Layout,3 BHK,,2072,3,2,108,560076
Super built-up  Area,18-Dec,JP Nagar,5 BHK,Pehtsa ,4400 - 6640,,,375,560078
Built-up  Area,Ready To Move,Herohalli,3 Bedroom,,1200,2,0,70,560091
Super built-up  Area,Ready To Move,Teachers Colony,3 BHK,,1350,3,0,77,560034
Built-up  Area,18-Mar,Bettahalsoor,4 Bedroom,Toainnt,3090 - 5002,4,0,445,ERROR
Super built-up  Area,18-Dec,Srinivasa Nagar,3 BHK,,1180,2,2,78.34,600063
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Edreelm,35000,3,3,130,560064
Super built-up  Area,Ready To Move,Langford Town,2 BHK,,1355,2,2,115,560025
Plot  Area,Ready To Move,Sulthangunta,1 Bedroom,,600,1,0,50,ERROR
Plot  Area,Ready To Move,Hormavu,7 Bedroom,,1200,7,,150,560043
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1640,2,1,120,560076
Plot  Area,Ready To Move,Byrathi Village,5 Bedroom,,1200,5,0,100,560077
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,,1190,2,2,57,560076
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,,2400,4,2,375,560043
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1019,2,2,49.85,560037
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1875,3,2,165,ERROR
Super built-up  Area,18-May,Akshaya Nagar,3 BHK,,1250,3,2,40,560016
Plot  Area,Ready To Move,Brookefield,3 Bedroom,Krreera,1200,3,2,140,ERROR
Super built-up  Area,Ready To Move,Whitefield,2 BHK,PaantPl,1140,2,1,56,560066
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1683,3,1,109,560091
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Golmsoy,1515,3,,83.3,560093
Super built-up  Area,19-Dec,Hoodi,4 BHK,Caycend,2118,4,2,111,560048
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,1380,3,0,58,560076
Super built-up  Area,Ready To Move,Varthur Road,2 BHK,,1083,2,2,61.75,560037
Plot  Area,Ready To Move,Anjappa Layout,2 Bedroom,,600,2,1,55,ERROR
Built-up  Area,Ready To Move,Avalahalli,3 BHK,Sohea A,2300,3,3,120,560062
Super built-up  Area,Ready To Move,Prakruthi Nagar,2 BHK,MSvelek,1240,2,2,60,ERROR
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1750,3,1,120,560064
Super built-up  Area,18-Apr,Sadaramangala,2 BHK,,1230,2,,43.48,ERROR
Plot  Area,17-Aug,Anjanapura,3 Bedroom,,1500,3,1,139,560062
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,985,2,1,40.39,560090
Plot  Area,Ready To Move,Tindlu,3 Bedroom,Hentye ,1500,2,1,87,ERROR
Built-up  Area,18-Dec,Electronic City,2 BHK,,1125,2,1,32.49,560100
Built-up  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2,1,44,ERROR
Super built-up  Area,18-Dec,JP Nagar,5 BHK,Pehtsa ,4400 - 6800,,,548.5,560078
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1580,3,3,76,560077
Plot  Area,Ready To Move,B Narayanapura,3 Bedroom,,1092,2,1,98.5,560016
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1090,2,1,28.34,560100
Built-up  Area,19-Mar,Hennur Road,3 Bedroom,,2264,3,1,159,560077
Super built-up  Area,19-Aug,Dommasandra,3 BHK,,1033,2,2,25.53,562125
Super built-up  Area,18-Apr,Kammasandra,2 BHK,Prony S,810,2,2,24.5,560100
Super built-up  Area,Ready To Move,Green Garden Layout,2 BHK,PaisePa,1045,2,0,45,560037
Super built-up  Area,18-Sep,Hebbal,2 BHK,Arcia S,1337,2,1,82,560024
Super built-up  Area,Ready To Move,Chandapura,2 BHK,,1200,2,2,32,560081
Super built-up  Area,Ready To Move,Koramangala,3 BHK,TealeRo,1580,3,2,160,560003
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2,3,54,560068
Super built-up  Area,18-Sep,Whitefield,3 BHK,Umods W,1640,4,2,91,560066
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,SSarlPe,1570,3,2,62,ERROR
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1470,2,2,82,560061
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1160,2,2,40.61,560060
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2,1,71,560078
Super built-up  Area,20-Jun,Dairy Circle,3 BHK,Soeurri,1855,3,1,225,ERROR
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2,1,90,560076
Built-up  Area,Ready To Move,Hulimavu,3 BHK,,1823,3,2,100,560076
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1094,2,2,42,560100
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,57,560049
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,PNncysi,1325,3,1,57,ERROR
Plot  Area,Ready To Move,Parappana Agrahara,4 Bedroom,,1200,3,2,85,ERROR
Built-up  Area,Ready To Move,Jakkur,3 BHK,Socon Z,1590,2,2,125,560064
Plot  Area,Ready To Move,Jeevan bima nagar,5 Bedroom,,1210,4,2,160,560075
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,,1200,4,0,220,560098
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,2 BHK,Krite D,1202,2,1,48,ERROR
Built-up  Area,Ready To Move,Haralur Road,2 BHK,,1202,2,1,53,ERROR
Super built-up  Area,Ready To Move,KSRTC Layout,2 BHK,Srisei ,1200,2,3,62.5,560078
Super built-up  Area,18-Feb,Panathur,3 BHK,Prcesvy,1688,3,1,118,560087
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Soestrn,1020,2,1,52,560032
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa 3t ,1185,2,2,47,560037
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1235,2,1,52.04,560066
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3205,5,1,500,560085
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1077,2,2,37.64,560070
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,MB-laan,1415,2,3,66,560068
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,BrontLa,2330,3,2,162,560066
Super built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,805,2,2,35,560066
Built-up  Area,Ready To Move,P&T Colony,1 BHK,,425,1,0,20.03,500003
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DNlleks,1155,2,3,59.95,560066
Super built-up  Area,Ready To Move,Cunningham Road,4 BHK,,5270,4,3,1250,560052
Super built-up  Area,Ready To Move,Anekal,2 BHK,,656,2,1,22,562106
Built-up  Area,Ready To Move,New Gurappana Palya,2 BHK,Alncy R,1100,2,0,48,560076
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,,1150,2,3,52,560048
Plot  Area,Ready To Move,Chelekare,1 Bedroom,,600,1,1,60,ERROR
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1468,2,1,140,ERROR
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,4300,5,2,550,ERROR
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4,2,126,560066
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Soiniy ,1341,2,1,97,ERROR
Super built-up  Area,Ready To Move,Jakkur,2 BHK,,1279,2,1,77,560064
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,SNbay G,2225,4,0,98.88,560100
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,43.51,560077
Super built-up  Area,Ready To Move,Vadarpalya,3 BHK,VMianri,1750,3,2,85,ERROR
Super built-up  Area,Ready To Move,Kudlu,2 BHK,GKityel,1152,2,1,53.5,560068
Plot  Area,Ready To Move,Shivanagar,5 Bedroom,,1000,4,1,160,560010
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Jaise P,1300,2,3,36,560076
Plot  Area,18-Nov,Varthur Road,4 Bedroom,,2760,4,2,155,560037
Super built-up  Area,18-Aug,5th Phase JP Nagar,2 BHK,,1070,2,2,39,ERROR
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Siayayo,1101,2,0,45,560061
Super built-up  Area,Ready To Move,V.V Puram,2 BHK,,775,2,1,55,ERROR
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,667,1,1,36.85,560022
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,55,560100
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,Trnce A,1875,2,2,110,ERROR
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,735,2,1,57.99,560037
Plot  Area,Ready To Move,Sarjapur,5 Bedroom,,4360,4,1,90,560037
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,1750,3,2,130,560003
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,PuilaMi,1215,2,1,67,560037
Plot  Area,Ready To Move,Sector 3 HSR Layout,9 Bedroom,,600,9,3,190,ERROR
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Prodsth,820,2,1,30,ERROR
Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,Brens7 ,1160 - 1195,2,0,59.935,ERROR
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1779,3,2,89.61,ERROR
Built-up  Area,Ready To Move,HMT Layout,2 BHK,HMRWAyo,1105,2,2,58,ERROR
Built-up  Area,Ready To Move,Basavanagara,1 BHK,,1000Sq. Meter,2,1,93,560100
Super built-up  Area,Ready To Move,Whitefield,3 BHK,UKkente,1650,3,2,60,560066
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1694,2,2,150,560013
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2376,3,1,203,560085
Super built-up  Area,Ready To Move,Cox Town,3 BHK,,1975,3,3,150,560005
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Icingpy,674,2,1,33,560100
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1185,2,1,41,560093
Super built-up  Area,Ready To Move, Thanisandra,1 RK,Bhmesy ,445,1,0,28,560077
Built-up  Area,Ready To Move,Mylasandra,6 Bedroom,VaitySe,900,7,,76,560059
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,,1475,3,2,75,560102
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Sklls C,1618,3,3,82.5,560083
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Vaanda ,1120,2,0,65,560003
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Sutte C,2181,3,2,152,560037
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,1200,4,0,90,560097
Plot  Area,Ready To Move,Nagondanahalli,6 Bedroom,,600,4,3,65,560066
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,DSnjh S,1556,2,1,59.13,560076
Super built-up  Area,19-Feb,Bannerghatta Road,2 BHK,Hiatei ,1179,2,1,66.02,560076
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1296,2,2,83,560077
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,VSomepi,1275,2,2,52,560093
Built-up  Area,Ready To Move,Kalasipalya,7 Bedroom,,1875,2,2,300,560002
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1400,2,2,77,560085
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Krryll ,1222,2,1,63,560083
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,940,2,1,41,560100
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,42.6,560077
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soite E,1779,3,2,112,572106
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1615,3,2,59.76,560068
Super built-up  Area,18-Dec,JP Nagar,4 BHK,Pehtsa ,4000 - 5249,,,453,560078
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2,1,61,ERROR
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2,0,46,560078
Built-up  Area,Ready To Move,Arekere,2 BHK,Prdowth,920,2,1,40,560076
Super built-up  Area,Ready To Move,ITI Layout,3 BHK,BMityre,1602,2,0,75,560016
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1176,2,0,62,560070
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,,675,3,1,59,560043
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,,1352,3,0,135,560025
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1717,3,3,99,560035
Plot  Area,18-Apr,4 Bedroom Farm House in Bagalur,4 Bedroom,,10961,4,1,80,ERROR
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119,4,3,111,ERROR
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,67.3,ERROR
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1141,2,1,42.79,560016
Built-up  Area,Ready To Move,Hennur Road,2 BHK,,1157,2,1,84,560077
Super built-up  Area,18-Aug,Chandapura,2 BHK,SuVue S,1025,2,2,27.68,560081
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,650,1,2,33,560064
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2,1,98,560024
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,Veodsar,1566,3,1,83.3,560077
Super built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,OsrdsOr,2830,3,3,195,560092
Built-up  Area,18-Dec,Electronic City,3 BHK,,1320,2,1,38.13,560100
Super built-up  Area,18-Nov,manyata park,3 BHK,,1780,3,1,84.83,560045
Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,1091,2,1,34.9,560087
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,Leino C,3670,4,3,300,ERROR
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,918,2,1,50.49,560078
Super built-up  Area,20-Dec,Yeshwanthpur,4 BHK,Detat H,1950,4,0,130,560022
Super built-up  Area,Ready To Move,Panathur,3 BHK,,1695,3,1,90,560087
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Shana S,1705,3,2,95,560064
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,Disical,1375,3,2,75,560043
Super built-up  Area,21-Oct,Kanakpura Road,1 BHK,PrarePa,525,1,1,30,560062
Built-up  Area,20-Dec,Whitefield,2 BHK,,1447,2,1,83,560066
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1114,2,1,39,560077
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brsiaen,1450,2,1,100,560078
Super built-up  Area,Ready To Move,Belathur,2 BHK,,460,1,0,15,560067
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1022,2,2,40,560062
Built-up  Area,Ready To Move,Hebbal,2 BHK,Ratlet ,1000,2,2,45,560024
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,68.75,560100
Super built-up  Area,18-May,Kanakpura Road,2 BHK,Wiowsri,1180,2,2,57,560062
Built-up  Area,Ready To Move,TC Palaya,6 Bedroom,,1000,6,1,69,560016
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,,1200,2,1,150,560072
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,,3761,3,2,660,560080
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,3,75,560062
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,,1400,2,3,55,560078
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1040,2,1,39.52,560078
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,,1198,2,2,58,560067
Plot  Area,Ready To Move,Shirdi Sai Layout,4 Bedroom,,1200,3,,95,423109
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3,2,113,562125
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,3,2,36,ERROR
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,,1630,3,2,194,560011
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,,1240,3,2,43.5,ERROR
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,PrarePa,1115 - 1130,2,0,58.935,560076
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3,2,86.58,560057
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Bintsee,2489,3,,94,560037
Built-up  Area,Ready To Move,Brookefield,2 BHK,Mapleer,1142,2,2,70,ERROR
Super built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,Diacee ,1976,3,1,184,ERROR
Plot  Area,Ready To Move,Sathya Sai Layout,4 Bedroom,Prowshi,5500,4,,600,560066
Super built-up  Area,Ready To Move,Kothannur,3 BHK,,1853,3,2,82,560077
Plot  Area,Ready To Move,Vijayanagar,8 Bedroom,,600,4,1,72,560040
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,,1567,2,2,92,560043
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1090,2,1,27.24,560062
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,,1200,4,2,125,560098
Plot  Area,Ready To Move,Indiranagar HAL 2nd Stage,4 Bedroom,,2400,4,1,640,560038
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Shitt S,1175,2,2,51.47,560100
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,DSagax ,1200,2,2,52,560061
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Prs 2hi,995,2,1,41,560076
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,Vrenty ,884,2,1,41.1,560023
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,5 Bedroom,,900,3,2,80,560032
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1170,2,2,57,560022
Super built-up  Area,Ready To Move,KR Puram,2 BHK,LVniaar,1225,2,1,46.55,573201
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1342,2,1,73.3,560100
Built-up  Area,19-Dec,Uttarahalli,2 BHK,,1345,2,1,67,560061
Built-up  Area,Ready To Move,Kodigehaali,3 BHK,Shyas S,1320,3,0,65,ERROR
Super built-up  Area,Ready To Move,Singapura Village,2 BHK,,1100Sq. Yards,2,,45,627425
